date;no;no2;nox;so2
2013-02-23;4,75;30,25;36,83;1,13
2013-02-24;2,92;22,38;26,42;1,21
2013-02-25;22,92;57,0;91,67;2,08
2013-02-26;25,42;55,0;93,46;2,42
2013-02-27;21,54;54,04;86,75;3,63
2013-02-28;2,42;26,17;29,46;1,29
2013-03-01;20,83;48,29;79,79;1,63
2013-03-02;12,71;48,75;67,88;1,88
2013-03-03;8,92;44,38;57,67;2,33
2013-03-04;21,29;56,9;89,24;3,15
2013-03-05;2,92;24,79;28,92;1,63
2013-03-06;13,96;41,46;62,38;1,13
2013-03-07;35,54;40,04;93,71;1,88
2013-03-08;4,83;23,96;31,08;1,0
2013-03-09;4,04;23,83;29,46;1,0
2013-03-10;3,46;23,88;28,71;1,25
2013-03-11;7,21;34,04;44,75;1,0
2013-03-12;4,58;27,0;33,67;1,0
2013-03-13;20,55;48,82;80,0;1,45
2013-03-14;6,75;37,79;47,71;1,13
2013-03-15;8,63;37,33;50,13;1,54
2013-03-16;14,04;39,71;61,04;2,5
2013-03-17;2,5;22,42;25,83;1,0
2013-03-18;4,5;28,21;34,5;1,0
2013-03-19;23,79;54,04;89,92;3,63
2013-03-20;22,04;54,33;87,92;1,71
2013-03-21;15,54;41,92;65,33;2,42
2013-03-22;19,58;48,46;78,21;2,38
2013-03-23;6,67;37,21;46,92;1,67
2013-03-24;3,42;28,46;33,25;1,5
2013-03-25;9,33;36,33;50,08;1,13
2013-03-26;4,5;22,58;29,13;1,25
2013-03-27;2,88;25,38;29,13;1,71
2013-03-28;6,57;30,29;40,0;1,48
2013-03-29;4,08;25,38;31,08;1,71
2013-03-30;1,63;15,71;17,83;1,5
2013-03-31;1,77;14,23;16,73;2,14
2013-04-01;2,63;21,71;25,13;1,67
2013-04-02;13,29;33,0;52,88;2,25
2013-04-03;15,38;39,04;62,04;3,58
2013-04-04;10,29;41,08;56,71;2,75
2013-04-05;6,0;46,88;55,71;1,71
2013-04-06;2,13;19,04;21,75;1,46
2013-04-07;3,17;21,0;25,38;1,88
2013-04-08;24,76;42,38;79,81;3,62
2013-04-09;23,75;42,21;78,17;3,25
2013-04-10;14,58;34,25;56,29;2,96
2013-04-11;6,54;30,58;40,29;2,42
2013-04-12;13,29;35,5;55,5;2,71
2013-04-13;7,5;32,42;43,33;3,88
2013-04-14;7,29;43,0;54,08;5,25
2013-04-15;12,17;45,04;63,17;4,67
2013-04-16;20,71;51,38;82,71;4,83
2013-04-17;21,83;50,88;83,92;5,29
2013-04-18;19,29;47,58;76,75;5,96
2013-04-19;17,42;44,17;70,08;4,42
2013-04-20;2,92;23,71;27,79;2,29
2013-04-21;2,17;20,04;22,83;2,46
2013-04-22;13,25;29,58;49,42;3,54
2013-04-23;8,17;36,38;48,5;4,88
2013-04-24;14,62;50,19;72,29;4,86
2013-04-25;1,96;32,17;34,67;2,25
2013-04-26;3,33;36,54;41,08;3,67
2013-04-27;2,83;19,33;23,38;2,0
2013-04-28;2,13;27,83;30,67;1,67
2013-04-29;15,58;51,13;74,5;2,54
2013-04-30;6,79;29,71;39,88;1,71
2013-05-01;4,29;25,25;31,29;2,25
2013-05-02;12,5;42,5;61,33;3,67
2013-05-03;5,17;26,08;33,58;2,0
2013-05-04;5,21;31,71;39,25;4,0
2013-05-05;2,79;20,13;24,08;3,0
2013-05-06;9,46;30,42;44,71;2,83
2013-05-07;4,63;33,83;40,54;3,17
2013-05-08;10,29;50,04;65,46;5,58
2013-05-09;4,83;30,0;37,13;3,67
2013-05-10;4,36;21,64;28,05;2,0
2013-05-11;1,79;11,04;13,38;1,0
2013-05-12;1,58;7,96;9,71;1,04
2013-05-13;13,29;26,5;46,38;1,67
2013-05-14;9,5;32,54;46,63;1,17
2013-05-15;14,54;38,33;60,33;1,42
2013-05-16;5,33;25,13;32,96;1,22
